policy_id,semester_number,sponsor_age,sponsor_died,sponsor_shock,dropout_flag,claim_flag,tuition_paid_flag,claim_amount,remaining_tuition
1,1,65.0,0,0,0,0,1,0.0,18420270.0
1,2,65.33333333333333,0,0,0,0,1,0.0,15350225.0
1,3,65.66666666666666,0,0,0,0,1,0.0,12280180.0
1,4,65.99999999999999,0,0,0,0,1,0.0,9210135.0
1,5,66.33333333333331,0,0,0,0,1,0.0,6140090.0
1,6,66.66666666666664,0,1,0,1,1,4057867.9993457925,3070045.0
2,1,69.0,0,0,0,0,1,0.0,27212632.0
2,2,69.33333333333333,0,0,0,0,1,0.0,23811053.0
2,3,69.66666666666666,0,0,0,0,1,0.0,20409474.0
2,4,69.99999999999999,0,0,0,0,1,0.0,17007895.0
2,5,70.33333333333331,0,0,0,0,1,0.0,13606316.0
2,6,70.66666666666664,0,0,0,0,1,0.0,10204737.0
2,7,70.99999999999997,0,0,0,0,1,0.0,6803158.0
2,8,71.3333333333333,0,0,0,0,0,0.0,3401579.0
3,1,53.0,0,0,0,0,0,0.0,19985496.0
3,2,53.333333333333336,0,0,0,0,0,0.0,16654580.0
3,3,53.66666666666667,0,0,0,0,1,0.0,13323664.0
3,4,54.00000000000001,0,0,0,0,1,0.0,9992748.0
3,5,54.33333333333334,0,0,0,0,1,0.0,6661832.0
3,6,54.66666666666668,0,0,0,0,1,0.0,3330916.0
4,1,45.0,0,0,0,0,0,0.0,16342170.0
4,2,45.333333333333336,0,0,0,0,1,0.0,14707953.0
4,3,45.66666666666667,0,0,0,0,0,0.0,13073736.0
4,4,46.00000000000001,0,0,0,0,1,0.0,11439519.0
4,5,46.33333333333334,0,0,0,0,0,0.0,9805302.0
4,6,46.66666666666668,0,0,0,0,1,0.0,8171085.0
4,7,47.000000000000014,0,0,0,0,1,0.0,6536868.0
4,8,47.33333333333335,0,0,0,0,1,0.0,4902651.0
4,9,47.666666666666686,0,0,0,0,0,0.0,3268434.0
4,10,48.00000000000002,0,0,0,0,1,0.0,1634217.0
5,1,41.0,0,0,0,0,1,0.0,24725770.0
5,2,41.333333333333336,0,0,0,0,0,0.0,22253193.0
5,3,41.66666666666667,0,0,0,0,1,0.0,19780616.0
5,4,42.00000000000001,0,0,0,0,0,0.0,17308039.0
5,5,42.33333333333334,0,0,0,0,1,0.0,14835462.0
5,6,42.66666666666668,0,0,0,0,1,0.0,12362885.0
5,7,43.000000000000014,0,0,0,0,1,0.0,9890308.0
5,8,43.33333333333335,0,0,0,0,0,0.0,7417731.0
5,9,43.666666666666686,0,0,0,0,1,0.0,4945154.0
5,10,44.00000000000002,0,0,0,0,1,0.0,2472577.0
6,1,53.0,0,0,0,0,1,0.0,19887846.0
6,2,53.333333333333336,0,0,0,0,1,0.0,16573205.0
6,3,53.66666666666667,0,0,0,0,1,0.0,13258564.0
6,4,54.00000000000001,0,0,0,0,1,0.0,9943923.0
6,5,54.33333333333334,0,0,0,0,1,0.0,6629282.0
